name,employer,location,min_selary,max_selary,money_type,href,employer_id,source
Senior C++ developer,ООО АйТиКвик,Москва,,180000,руб,https://izhevsk.hh.ru/vacancy/37617095?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2639497,https://hh.ru/
Unreal Engine developer (C++),ООО Кэрот Бродкаст,"Москва, ВДНХ",,60000,руб,https://izhevsk.hh.ru/vacancy/37375799?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3874061,https://hh.ru/
С/C++ Developer,ООО СТМ,"Нижний Новгород, Горьковская",,,,https://izhevsk.hh.ru/vacancy/36917011?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1541784,https://hh.ru/
Junior backend developer,ООО Сибекст,Новосибирск,,,,https://izhevsk.hh.ru/vacancy/37430166?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2204074,https://hh.ru/
С++ разработчик, Wunder Fund,Москва,,120000,руб,https://izhevsk.hh.ru/vacancy/37702583?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4558995,https://hh.ru/
Программист C/С++,ООО Доминион,Москва,90000,,руб,https://izhevsk.hh.ru/vacancy/37612869?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4531770,https://hh.ru/
Инженер-программист микроконтроллеров,ООО Инфралайн,Санкт-Петербург,80000,,руб,https://izhevsk.hh.ru/vacancy/37441823?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4691603,https://hh.ru/
Ведущий программист С++, Адалиск,"Москва, Ясенево",200000,,руб,https://izhevsk.hh.ru/vacancy/37487443?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/215019,https://hh.ru/
Rust Developer, TR Logic LLC,Санкт-Петербург,2000,,EUR,https://izhevsk.hh.ru/vacancy/37424615?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2898081,https://hh.ru/
C++ developer (Berlin), Cellar door,Москва,,10000,EUR,https://izhevsk.hh.ru/vacancy/37182592?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4420523,https://hh.ru/
Backend-разработчик / Python developer,ООО Эктострой,"Москва, Павелецкая",,70000,руб,https://izhevsk.hh.ru/vacancy/37641098?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1642679,https://hh.ru/
C++/python разработчик,ЗАО НОРСИ-ТРАНС,Ростов-на-Дону,100000,,руб,https://izhevsk.hh.ru/vacancy/36742022?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/855766,https://hh.ru/
"Junior C++ Developer (Берлин, Германия)", Кадровое агентство Алексея Сухорукова,Новосибирск,,9100,EUR,https://izhevsk.hh.ru/vacancy/29560994?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/48184,https://hh.ru/
Программист C++,ЗАО НОРСИ-ТРАНС,"Нижний Новгород, Горьковская",,,,https://izhevsk.hh.ru/vacancy/36876458?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/855766,https://hh.ru/
Senior C# .NET Developer, ZennoLab,Москва,,160000,руб,https://izhevsk.hh.ru/vacancy/37646375?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/723714,https://hh.ru/
C++ разработчик,ООО Портал,Пермь,,,,https://izhevsk.hh.ru/vacancy/37611201?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/974305,https://hh.ru/
Senior iOS Developer, Gradient,"Москва, Калужская",260000,,руб,https://izhevsk.hh.ru/vacancy/37294446?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4111056,https://hh.ru/
GUI-программист (PyQt), МФТИ ГУ,Москва,,140000,руб,https://izhevsk.hh.ru/vacancy/37674480?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1008541,https://hh.ru/
Rust Developer, TR Logic LLC,Москва,2000,,EUR,https://izhevsk.hh.ru/vacancy/36357908?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2898081,https://hh.ru/
Team Lead С++,ООО Кортекс,Москва,,260000,руб,https://izhevsk.hh.ru/vacancy/37086491?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4316373,https://hh.ru/
Frontend Team Lead (React),ООО Кортекс,Москва,,290000,руб,https://izhevsk.hh.ru/vacancy/37095796?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4316373,https://hh.ru/
Программист С++ Junior,ООО Cинтез-АТ,"Санкт-Петербург, Василеостровская",60000,,руб,https://izhevsk.hh.ru/vacancy/37375358?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4358210,https://hh.ru/
Разработчик C++ (Computer Graphics / Computer Vision),ООО Пятый вид мультимедиа,"Москва, Римская и еще 1 ",,150000,руб,https://izhevsk.hh.ru/vacancy/37643398?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2178502,https://hh.ru/
